question,тақырып,таңдаулар,жауап,sheet,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
 Төмендегі тұжырымдардың қайсысы шежіреде берілген ақпаратпен расталады?, орта мектеп_биологиясы,"['P буынының анасы XX.' 'P буынының әкесі XY.' 'Егер II қатардағы 1 және 2 ата-ананың тағы бір баласы болса, баланың алкаптонуриямен ауыру мүмкіндігі 25%.' '1-ші әйелдің генотипі XX.']",2,Sheet1, Төмендегі тұжырымдардың қайсысы шежіреде,берілген ақпаратпен расталады?,?,"Тапсырманы орындауға арналған нұсқаулықпен қатар, дұрыс жауапты білу қажеттілігі.",0.0,0.0,0.6,0.57,No
 Қала орталығы қызмет көрсететін шеткі аймақ деп аталады, орта мектеп географиясы, ['қызыл сызық аймағы.' 'шегініс.' 'диапазон.' 'ішкі аймақ.'],3,Sheet1, Қала орталығы қызмет көрсететін,шеткі аймақ деп аталады,әлеуметтік қызмет жүйесінде,,0.0,0.0,0.48,0.4,No
Емлені тексеретін бағдарлама келесідей жұмыс істейді. Әрбір жазба жалған деп инициализацияланған бульдік айнымалы болатын хэш кестесі анықталды. Сөздіктегі әрбір сөзге хэш функциясы қолданылды және хэш кестесіндегі тиісті жазба шын деп орнатылды. Құжаттағы емлені тексеру үшін құжаттағы әрбір сөзге хэш функциясы қолданылады және хэш кестесіндегі тиісті жазба тексеріледі. Төмендегілердің қайсысы дұрыс (дұрыс)? I. шын сөз сөздікте болғанын білдіреді. II. жалған сөз сөздікте болмағанын білдіреді. III. Хэш кестесінің өлшемі құжат өлшемімен бірге артуы керек., колледж_компьютер_ғылымы, ['Тек мен' 'Тек II' 'Тек I және II' 'Тек II және III'],1,Sheet1,Емлені тексеретін бағдарлама келесідей жұмыс істейді. Әрбір жазба жалған деп инициализацияланған бульдік айнымалы болатын хэш кестесі анықталды. Сөздіктегі әрбір сөзге хэш функциясы қолданылды және хэш кестесіндегі тиісті жазба шын деп орнатылды. Құжаттағы емлені тексеру үшін құжаттағы әрбір сөзге хэш функциясы қолданылады және хэш кестесіндегі тиісті жазба тексеріледі. Төмендегілердің қайсысы дұрыс (дұрыс)? I. шын сөз сөздікте болғанын білдіреді.,II. жалған сөз сөздікте болмағанын білдіреді. III. Хэш кестесінің өлшемі құжат өлшемімен бірге артуы керек.,ІІ.,"Эмлені тексеретін бағдарлама құжатындағы әрбір сөзді хеш кестесінде сақтай отырып, сөздің шын мәнінде болуын дәлелдейтін нұсқаны көрсетеді. Сонымен қатар, осы нұсқа сәйкес келеді. 

**Олай болса, жоқтар:**
**М. Көз карасқа қарағанда сөздіктерден басқа.**
**III. Тексеру қате кезінде шатастыруға мүмкін.**
**IV. Бағдарламаның қаупі жоятын механизм.**

*(Дұрыс нұсқа — шын сөз сөздікте болғанын білдіреді)*",0.5,0.0,0.61,0.81,No
"Бұл сұрақ келесі ақпаратқа қатысты. Бұл табиғи нәрсе, бұл артықшылық, мен одан әрі қарай барамын, бұл барлық еркін адамдар өздеріне зиян келтірілген кезде шағымдануға құқылы деп мәлімдейтін құқық. Олардың билікті теріс пайдалануына қарсы ең қатаң түрде наразылық білдіруге, көршілерін биліктегі адамдардың айла-шарғысынан немесе ашық зорлық-зомбылығынан сақ болуға және бостандықтың нығметтеріне деген сезімдерін, оған беретін құндылықтарын және оны аспан бере алатын ең үлкен нығметтердің бірі ретінде сақтау үшін барлық қауіп-қатерлерге төтеп беруге батылдықпен мәлімдеуге құқығы бар... Бірақ қорытындылай келе: Сот пен сіздердің, қазылар алқасының мырзаларының алдында тұрған сұрақ шағын немесе жеке мәселе емес. Бұл бір кедей баспагердің немесе қазір сіздер сынап жатқан тек Нью-Йорктің мәселесі емес. Жоқ! Бұл өз кезегінде Американың негізгі бөлігінде британдық үкіметтің қол астында тұратын әрбір еркін адамға әсер етуі мүмкін. Бұл ең жақсы себеп. Бұл бостандықтың себебі. Мен күмәнданбаймын, сіздің бүгінгі әділ мінез-құлқыңыз сізге тек азаматтарыңыздың сүйіспеншілігі мен құрметіне ие болуға құқық беріп қана қоймай, сонымен қатар құлдық өмірден гөрі бостандықты артық көретін әрбір адам сізді тирания әрекетін тойтарған және бейтарап және бұрмаланбаған үкіммен өзімізге, ұрпақтарымызға және көршілерімізге табиғат пен еліміздің заңдары бізге шындықты айту және жазу арқылы озбыр билікті әшкерелеу және оған қарсы тұру құқығын берген адамдар ретінде баталап, құрметтейді. —Эндрю Гамильтон, қорытынды дәлел, газет редакторы Джон Питер Зенгердің жала жабу ісі, 1735 жылғы 4 тамыз Гамильтонның Зенгер ісіндегі табысы келесілердің қайсысын тікелей көрсетеді?",жоғары_мектеп_АҚШ_тарихы, ['Американдықтардың Ұлыбританиядан тәуелсіздікке ұмтылуы' 'Американдықтардың Ағартушылық идеалдардан бас тартуы' 'Американдық отарлардағы ұзақ уақыт бойы өзін-өзі басқару дәстүрі' 'Америка мен Ұлыбритания арасындағы экономикалық байланыстардың әлсіреуі'],2,Sheet1,"Бұл сұрақ келесі ақпаратқа қатысты. Бұл табиғи нәрсе, бұл артықшылық, мен одан әрі қарай барамын, бұл барлық еркін адамдар өздеріне зиян келтірілген кезде шағымдануға құқылы деп мәлімдейтін құқық. Олардың билікті теріс пайдалануына қарсы ең қатаң түрде наразылық білдіруге, көршілерін биліктегі адамдардың айла-шарғысынан немесе ашық зорлық-зомбылығынан сақ болуға және бостандықтың нығметтеріне деген сезімдерін, оған беретін құндылықтарын және оны аспан бере алатын ең үлкен нығметтердің бірі ретінде сақтау үшін барлық қауіп-қатерлерге төтеп беруге батылдықпен мәлімдеуге құқығы бар... Бірақ қорытындылай келе: Сот пен сіздердің, қазылар алқасының мырзаларының алдында тұрған сұрақ шағын немесе жеке мәселе емес. Бұл бір кедей баспагердің немесе қазір сіздер сынап жатқан тек Нью-Йорктің мәселесі емес. Жоқ! Бұл өз кезегінде Американың негізгі бөлігінде британдық үкіметтің қол астында тұратын әрбір еркін адамға әсер етуі мүмкін.","Бұл ең жақсы себеп. Бұл бостандықтың себебі. Мен күмәнданбаймын, сіздің бүгінгі әділ мінез-құлқыңыз сізге тек азаматтарыңыздың сүйіспеншілігі мен құрметіне ие болуға құқық беріп қана қоймай, сонымен қатар құлдық өмірден гөрі бостандықты артық көретін әрбір адам сізді тирания әрекетін тойтарған және бейтарап және бұрмаланбаған үкіммен өзімізге, ұрпақтарымызға және көршілерімізге табиғат пен еліміздің заңдары бізге шындықты айту және жазу арқылы озбыр билікті әшкерелеу және оған қарсы тұру құқығын берген адамдар ретінде баталап, құрметтейді. —Эндрю Гамильтон, қорытынды дәлел, газет редакторы Джон Питер Зенгердің жала жабу ісі, 1735 жылғы 4 тамыз Гамильтонның Зенгер ісіндегі табысы келесілердің қайсысын тікелей көрсетеді?",,"Бұл құқықтық мәселенің маңыздылығын толық түсіну үшін бұл процестің тереңдігі мен мәніне қарамастан қорыта алатындардың есебінен өтеу керек. Себебі егер бұл жағдайда әрбір қатысушының ақыл-парасатын баяу қалдырса, онда мемлекеттік құқық-қамшылықтың бұзылуы қадағалайды. Сол сияқты қорытындылай келе, осы ерекше жағдайда әрбір еркін адамның орыс-қазақстанның, сондай-ақ әлемдік қоғамның тәжірибесіндегі қорытындысын қосуға тура келеді.",0.0,0.0,0.97,0.97,No
"Мемлекеттік заң бойынша есірткіге тәуелділік қылмыс болып саналады. Бір адам тұтқындалып, есірткіге тәуелділік қылмысы бойынша айыпталды. Екі офицер айыпталушының қолдары мен білектеріндегі «із» белгілерін тексергенін және оның бұрын есірткі қолданғанын мойындағанын айтты. Айыпталушы өзінің нашақор емес екенін және белгілер аллергиялық реакциядан болғанын айтты. Бірінші сатыдағы сот қазылар алқасына есірткі қолданғаны туралы дәлелсіз, нашақор екенін дәлелдейтін дәлелдер болған жағдайда оны кінәлі деп тануға болатынын тапсырды. Қазылар алқасы айыпталушының жоққа шығаруларына сенбеді және оны байқалған іздер негізінде кінәлі деп тапты. Сот оны алты айға бас бостандығынан айыру жазасына кесті. Ол Америка Құрама Штаттары Конституциясының сегізінші және он төртінші түзетулерімен тыйым салынған қатыгез және ерекше жазаны талап етіп, апелляциялық шағым түсірді. Апелляциялық шағым бойынша үкім күшін жойуы мүмкін бе?", кәсіби_құқық,"[«Жоқ, себебі тұтқындау заңсыз есірткіні үнемі қолдануға негізделген және қылмыстық заңның тиісті мәселесі болып табылады». «Жоқ, себебі мемлекет өз шекарасында есірткіні пайдалануға тыйым салуға құқылы және бұл заң дәл осылай істейді». «Иә, себебі заң заңсыз есірткіні қолдануды қылмыстық деп санайды, бұл қатыгез және ерекше жаза болып табылады». «Иә, себебі заң есірткіге тәуелділік ауруымен ауырғандарды жазалайды, бұл біреуді суық тигені үшін жазалаумен бірдей, сондықтан бұл қатыгез және ерекше жаза».",3,Sheet1,"Мемлекеттік заң бойынша есірткіге тәуелділік қылмыс болып саналады. Бір адам тұтқындалып, есірткіге тәуелділік қылмысы бойынша айыпталды. Екі офицер айыпталушының қолдары мен білектеріндегі «із» белгілерін тексергенін және оның бұрын есірткі қолданғанын мойындағанын айтты. Айыпталушы өзінің нашақор емес екенін және белгілер аллергиялық реакциядан болғанын айтты. Бірінші сатыдағы сот қазылар алқасына есірткі қолданғаны туралы дәлелсіз, нашақор екенін дәлелдейтін дәлелдер болған жағдайда оны кінәлі деп тануға болатынын тапсырды.","Қазылар алқасы айыпталушының жоққа шығаруларына сенбеді және оны байқалған іздер негізінде кінәлі деп тапты. Сот оны алты айға бас бостандығынан айыру жазасына кесті. Ол Америка Құрама Штаттары Конституциясының сегізінші және он төртінші түзетулерімен тыйым салынған қатыгез және ерекше жазаны талап етіп, апелляциялық шағым түсірді. Апелляциялық шағым бойынша үкім күшін жойуы мүмкін бе?","Осылайша, айыпталушының қысқаша қызығушылығына қарай құжатпен толықтырып беру керектігі туралы болды.",,0.0,0.0,0.7,0.58,No
 Америка Құрама Штаттарына қауіп төндіретін мемлекеттік емес субъект қайсысы емес?, АҚШ_шетелдік_саясат, ['Террористер' 'Ұйымдасқан қылмыс' 'Есірткі саудагерлері' 'Қытай'],3,Sheet1, Америка Құрама Штаттарына қауіп төндіретін мемлекеттік,емес субъект қайсысы емес?,,,0.0,0.0,0.5,0.5,No
"Серіктестік сатып алушыға бос жер учаскесін білдіретін жалпы кепілдік актісін берді. Акт бойынша, грант алушы мен оның тағайындалған өкілдері келісім бойынша мүлікке іргелес жол төсеміне пропорционалды түрде үлес қосуға міндетті болды. Грант алушы мүлікті ерлі-зайыптыларға жаңа жол төсеміне қатысты келісімнің ешбір шарты жоқ арнайы кепілдік актісі бойынша берді. Сатып алушылардың адвокаты болған жоқ және меншік құқығын тексеруден өтпеді. Жол аяқталған кезде, сатып алушы ерлі-зайыптылар олардан талап етілген үлесті төлеуден бас тартты. Жер учаскесінің бастапқы сатушылары ерлі-зайыптыларға алқабилерсіз меншік құқығы туралы талап арыз берді. Судья жұптың төсемнің өз үлесін төлеуі керек деп шешті. Апелляциялық шағым бойынша апелляциялық сот бірінші сатушының бұйрығын растай ма?", кәсіби_құқық,"[‘Иә, бұл жермен жасалған келісім, себебі ол бірінші сатып алушының мұрагерлері мен «тағайындаушыларына» қолданылуы тиіс еді.’’ Иә, себебі жер иесі кез келген жағдайда кез келген іргелес жеке жолдарды жақсартудағы өз үлесі үшін жауапты.’’ Жоқ, себебі бастапқы сатушылардың жалпы кепілдігі бірінші сатып алушыдан тыс қолданылмады.’’ Жоқ, себебі төсеу талабы ерлі-зайыптыларға арналған құжатта көрсетілуі керек еді, ал олай болған жоқ.’]",0,Sheet1,"Серіктестік сатып алушыға бос жер учаскесін білдіретін жалпы кепілдік актісін берді. Акт бойынша, грант алушы мен оның тағайындалған өкілдері келісім бойынша мүлікке іргелес жол төсеміне пропорционалды түрде үлес қосуға міндетті болды. Грант алушы мүлікті ерлі-зайыптыларға жаңа жол төсеміне қатысты келісімнің ешбір шарты жоқ арнайы кепілдік актісі бойынша берді. Сатып алушылардың адвокаты болған жоқ және меншік құқығын тексеруден өтпеді. Жол аяқталған кезде, сатып алушы ерлі-зайыптылар олардан талап етілген үлесті төлеуден бас тартты.",Жер учаскесінің бастапқы сатушылары ерлі-зайыптыларға алқабилерсіз меншік құқығы туралы талап арыз берді. Судья жұптың төсемнің өз үлесін төлеуі керек деп шешті. Апелляциялық шағым бойынша апелляциялық сот бірінші сатушының бұйрығын растай ма?,Бұл мәселе қалай шешілуі тиіс?,"Осы жерде заңгерлік жүйеге қойылған талаптар мен қорғау жүйесінің маңыздылығын көрсету үшін қызықтылық деңгейін арттырып беруге болады. Сатып алушының қолға қойылған жазбаларды орындамауына қатысты, қайтадан айналым жүзеге асырылатынын дәлелдей білетін құжаттарды жинақтау керек. Әсіресе, мерзімін созуға болмайтын жағдайда, бұл мәселенің шешімі әсерлі болуы мүмкін, себебі заңгерлік жобадағы қорытындыларды қанағаттандырудың жолдары бар. Түсіндірме кезінде мұның барлығын қорғау үшін қатысушылардың рөлін талдап, нақтылауы тиімді.",0.0,0.0,0.61,0.86,No
АҚШ-тағы ЖИТС-ке қарсы белсенділік мыналарға әкелді:, вирусология, ['Азық-түлік және дәрі-дәрмек басқармасының реформалары' 'Зерттелетін дәрілерге қолжетімділікті жеңілдету' 'АҚШ-та медицинаның қолданылу тәсіліндегі өзгерістер' 'Жоғарыда айтылғандардың барлығы'],3,Sheet1,АҚШ-тағы ЖИТС-ке қарсы белсенділік,мыналарға әкелді:,Жалпылама сипаттама,бұл жерде АҚШ-тың ішкі істерін шешуге мүмкіндік берді.,0.0,0.0,0.62,0.77,No
" Бір адам көршісіне: «Егер сен менің көгалымды шапсаң, мен саған 50 доллар төлеймін», - деді. Содан кейін көршісі көгал шапқышқа бензин сатып алып, көгал шапты. Көршісі көгал шапқышын ер адамның жеріне апарып, қозғалтқышын іске қосты. Сол сәтте ер адам кенеттен: «Мен ұсынысымнан бас тартамын», - деп айқайлады. «Егер көршісі кейіннен оның көгалын шапса, ол 50 долларды қайтарып ала ма?»", кәсіби_құқық,"[«Иә, себебі ер адамның келісімшартты бұзуға әрекет жасағанға дейін қайтарылмайтын біржақты келісімшартқа ұсыныс болды». «Иә, квази-келісімшарт доктринасы бойынша». «Жоқ, себебі ер адамның келісімшартты бұзуы күшіне енді, себебі көршісі келісімшартты орындамаған». «Жоқ, себебі көршісі ер адамның келісімшартты бұзуына дейін ұсынысты қабылдауға дайындалудан басқа ештеңе істемеген».]",0,Sheet1," Бір адам көршісіне: «Егер сен менің көгалымды шапсаң, мен саған 50 доллар төлеймін», - деді. Содан кейін көршісі көгал шапқышқа бензин сатып алып, көгал шапты. Көршісі көгал шапқышын ер адамның жеріне апарып, қозғалтқышын іске қосты.","Сол сәтте ер адам кенеттен: «Мен ұсынысымнан бас тартамын», - деп айқайлады. «Егер көршісі кейіннен оның көгалын шапса, ол 50 долларды қайтарып ала ма?»",Kimdir?,Сондықтан кейіннен көршісі осы жағдайды тәрбиелік қызмет көрсетті.,0.0,0.0,0.6,0.51,No
"Бөлшек саудагер көтерме сатушыға қарсы келісімшартты бұзды және жалған ақпарат берді деп айыптап, федералды әртүрлілік бойынша талап арыз берді. Тараптар сот отырысында өз дәлелдерін ұсынғаннан кейін, сот қазылар алқасына заң бойынша нұсқау берді. Іс қазылар алқасына жіберілгенге дейін екі тарап та заң бойынша шешім шығару туралы өтініш берген жоқ. Қазылар алқасы екі талап бойынша да бөлшек саудагердің пайдасына шешім шығарды. Сот үкім бойынша шешім шығарғаннан кейін, көтерме сатушы дәлелдемелер екі талап бойынша да қазылар алқасының шешімін қолдау үшін жеткіліксіз деп мәлімдеп, жаңа сот ісін және заң бойынша шешім шығаруды сұрады. Сот кейбір дәлелдемелер бойынша мәселелер болғанын мойындады, бірақ өтініштерді қабылдамады. Көтерме сатушы дәлелдемелердің жеткіліктілігіне шағымданып, апелляциялық шағым берді. Апелляциялық сот көтерме сатушының шағымын қарастыруы керек пе?", кәсіби_құқық,"[«Жоқ, себебі дәлелдемелердің жеткіліктілігін анықтау тек қана алқабилер алқасының құзыретіне кіреді.» «Жоқ, себебі көтерме сатушы іс алқабилер алқасына жіберілгенге дейін заңды шешім шығару туралы өтініште дәлелдемелердің жеткіліктілігі мәселесін көтермеген.» «Иә, себебі көтерме сатушы апелляциялық шағым бергенге дейін бірінші сатыдағы сот шағым түсіріп, шешім шығарған.» «Иә, себебі бірінші сатыдағы сот мойындағандай, көтерме сатушының шағым бойынша күшті дәлелдері бар.»]",1,Sheet1,"Бөлшек саудагер көтерме сатушыға қарсы келісімшартты бұзды және жалған ақпарат берді деп айыптап, федералды әртүрлілік бойынша талап арыз берді. Тараптар сот отырысында өз дәлелдерін ұсынғаннан кейін, сот қазылар алқасына заң бойынша нұсқау берді. Іс қазылар алқасына жіберілгенге дейін екі тарап та заң бойынша шешім шығару туралы өтініш берген жоқ. Қазылар алқасы екі талап бойынша да бөлшек саудагердің пайдасына шешім шығарды. Сот үкім бойынша шешім шығарғаннан кейін, көтерме сатушы дәлелдемелер екі талап бойынша да қазылар алқасының шешімін қолдау үшін жеткіліксіз деп мәлімдеп, жаңа сот ісін және заң бойынша шешім шығаруды сұрады.","Сот кейбір дәлелдемелер бойынша мәселелер болғанын мойындады, бірақ өтініштерді қабылдамады. Көтерме сатушы дәлелдемелердің жеткіліктілігіне шағымданып, апелляциялық шағым берді. Апелляциялық сот көтерме сатушының шағымын қарастыруы керек пе?",...,"Жаңа іске қосылған кезде екі тараптың пікірлеріне сүйене отырып, судьялар бастапқы шешімін анықтайды және бастапқы заңнамалық қағидалардың талап етілетіндіктерін қояды. Жалпыда сот алаңында қазіргі шешімге қатысу шараларын қабылдап, жаңа іс жүзіндегі жаңа дәлелдерге сүйене отырып, жаңа шешім шығаруға рұқсат береді. Бұл процесс жүзеге асырылған кезде әрбір тарап өзін қорыта алады және қажетті жауапкершіліктерді мекемелейді.",0.0,0.0,0.75,0.9,No
 ФАКТОРИЯЛЫҚ АНОВА зерттеуге 1-ден астам көктамыр ішіне енгізуді қамтыған кезде қолданылады. ФАКТОРИЯЛЫҚ АНОВАНЫҢ ӨЗАРА ӘСЕРІ қандай?, кәсіби_психология, ['басқа көктамырлардың әртүрлі деңгейлеріндегі көктамыр ішіне енгізудің әсері' '1 көктамыр ішіне енгізудің өзіндік әсері' 'көбірек көктамыр ішіне енгізудің өзіндік әсері' 'басқа көктамырлардың сол деңгейлеріндегі көктамыр ішіне енгізудің әсері'],0,Sheet1, ФАКТОРИЯЛЫҚ АНОВА зерттеуге 1-ден астам көктамыр ішіне енгізуді қамтыған кезде қолданылады.,ФАКТОРИЯЛЫҚ АНОВАНЫҢ ӨЗАРА ӘСЕРІ қандай?,Бұл жағдайда,"Осылайша, факторлардың әсерін талдауға мүмкіндік береді.",0.0,0.0,0.81,0.57,No
" Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) АҚШ-тағы 2020 жылғы жағдай бойынша қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Үйімде ыстық, сондықтан мен қонаққа келген енеме қалың жүн көрпе беремін. 2-жағдай | Біз ұрысып қалғаннан кейін көршілерімнің арамшөптерін жұлып алдым.", моральдық_сценарийлер," ['Қате, қате' 'Қате, қате емес' 'Қате емес, қате' 'Қате емес, қате емес' 'Қате емес, қате емес']",1,Sheet1," Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) АҚШ-тағы 2020 жылғы жағдай бойынша қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Үйімде ыстық, сондықтан мен қонаққа келген енеме қалың жүн көрпе беремін.",2-жағдай | Біз ұрысып қалғаннан кейін көршілерімнің арамшөптерін жұлып алдым.,2-жағдай |,"2-жағдай | Менің өзімді қанағаттандыратын әлеуетін қосқандай да, бірақ осындай жағдайларда белсенді түрде қатысатын адамдарға қайтадан қаруланудың қалпын аударуға мүмкіндік бермейді.",1.0,1.0,0.56,0.8,No
"Екі ер адам әуеге көтерілген шарларды көру үшін мемлекеттік жәрмеңкедегі әуе шоуына қатысты. Олар сол жерге жеткенде, әуе тарихы туралы бейнероликті тамашалап жатқан, жоғары санатты адамдардың билеті бар топты көрді. Олар жиналыс бөлмесін басып алып, қаруларын қорқытып, сағаттарын, әмияндарын және зергерлік бұйымдарын талап етті. Олар жинаған сыйлықтарын түгендеген кезде, клиенттердің шын мәнінде университет тарих клубынан екенін және оларда нағыз зергерлік бұйымдар, сағаттар немесе әмияндар аз екенін анықтады, олар ашуланып, қатысушылардың бірнешеуін ұрып, біреуін өлтіріп, екіншісін ауыр жарақаттады. Төмендегілердің қайсысы олардың сотталуы мүмкін жалпы құқық қылмыстарының ең дәл тізімі? Егер олар аяқталған болса, қылмыс жасауға оқталуды таңдамаңыз.", кәсіби_құқық,"['Үйге кіруге оқталу, қарақшылық және кісі өлтіруге оқталу.' 'Жалған бас бостандығынан айыру, кісі өлтіруге оқталу және кісі өлтіру.' 'Жалған бас бостандығынан айыру, қарақшылық, ауырлататын шабуыл және кісі өлтіру.' 'Жалған бас бостандығынан айыру, қарақшылыққа оқталу және бірінші дәрежелі кісі өлтіру.']",2,Sheet1,"Екі ер адам әуеге көтерілген шарларды көру үшін мемлекеттік жәрмеңкедегі әуе шоуына қатысты. Олар сол жерге жеткенде, әуе тарихы туралы бейнероликті тамашалап жатқан, жоғары санатты адамдардың билеті бар топты көрді. Олар жиналыс бөлмесін басып алып, қаруларын қорқытып, сағаттарын, әмияндарын және зергерлік бұйымдарын талап етті. Олар жинаған сыйлықтарын түгендеген кезде, клиенттердің шын мәнінде университет тарих клубынан екенін және оларда нағыз зергерлік бұйымдар, сағаттар немесе әмияндар аз екенін анықтады, олар ашуланып, қатысушылардың бірнешеуін ұрып, біреуін өлтіріп, екіншісін ауыр жарақаттады.","Төмендегілердің қайсысы олардың сотталуы мүмкін жалпы құқық қылмыстарының ең дәл тізімі? Егер олар аяқталған болса, қылмыс жасауға оқталуды таңдамаңыз.",Бұл жағдай қандай қалау екенін анықтауға болады.,Осы оқиғадан кейін полиция қызметкерлері келді және олардың ақылсыздықтан қорғануына тырысты. Алаңдаушысы оның ақшасын жойылудан қорыққан болатын. Бұдан кейін олардың қатысушыларының анықтамасын жүргізуге тырысты. Осы оқиғадан кейін қарама-қайшылықтардың аясына қарайып қалды. Полицияның алаңдаушысына айналып қалған болатын.,0.0,0.0,0.61,0.71,No
"Бұл сұрақ келесі ақпаратқа қатысты. Осы дискурстың тақырыбын жалпыға түсінікті ету үшін мен қазір айтатын заттың ғылыми атауы «Протоплазма» терминін «өмірдің физикалық негізі» деген сөздермен аудардым. Менің ойымша, көпшілік үшін өмірдің физикалық негізі немесе материясы бар деген идея жаңа болуы мүмкін - өмірді материя арқылы жұмыс істейтін нәрсе ретіндегі түсінік кең таралған. ... Осылайша, өмір материясы, біз білетіндей (және бізде басқа ештеңе туралы болжам жасауға құқығымыз жоқ), оның көрінетін тіршілік ету шарты болып табылатын үздіксіз өлімнің салдарынан көмірқышқыл газына, суға және азотты қосылыстарға ыдырайды, олардың кәдімгі материяның қасиеттерінен басқа қасиеттері жоқ. Томас Генри Хаксли, «Өмірдің физикалық негізі», 1868. Үзіндіден Хакслидің көзқарасы он тоғызыншы ғасырдағы идеологияны білдіреді деп қорытынды жасауға болады.",орта мектеп_еуропалық_тарихы, ['анархизм' 'материализм' 'консерватизм' 'романтизм'],1,Sheet1,"Бұл сұрақ келесі ақпаратқа қатысты. Осы дискурстың тақырыбын жалпыға түсінікті ету үшін мен қазір айтатын заттың ғылыми атауы «Протоплазма» терминін «өмірдің физикалық негізі» деген сөздермен аудардым. Менің ойымша, көпшілік үшін өмірдің физикалық негізі немесе материясы бар деген идея жаңа болуы мүмкін - өмірді материя арқылы жұмыс істейтін нәрсе ретіндегі түсінік кең таралған. ... Осылайша, өмір материясы, біз білетіндей (және бізде басқа ештеңе туралы болжам жасауға құқығымыз жоқ), оның көрінетін тіршілік ету шарты болып табылатын үздіксіз өлімнің салдарынан көмірқышқыл газына, суға және азотты қосылыстарға ыдырайды, олардың кәдімгі материяның қасиеттерінен басқа қасиеттері жоқ.","Томас Генри Хаксли, «Өмірдің физикалық негізі», 1868. Үзіндіден Хакслидің көзқарасы он тоғызыншы ғасырдағы идеологияны білдіреді деп қорытынды жасауға болады.",бұл мәтінді талдау үшін,"Сонымен қатар, өмірді кәдімгі заттардың қасиеттерімен таныстырмай, оның өзіндік қызметі мен ғылыми тұрғыдан анықталуы керек.",0.0,0.0,0.9,0.84,No
 Жұмысты байыту мен жұмысты кеңейту арасындағы негізгі айырмашылық жұмысты байытуға қарағанда, кәсіби_психология,['басшылыққа жұмыс әрекеттерін қатаң бақылауды қамтамасыз етеді'' 'негізінен жаппай өндіріс типіндегі жұмысшыларға ұнайды' 'жұмысшыларға орындау үшін квази-басқарушылық тапсырмалар береді' 'жұмыс циклін ұзартады'],2,Sheet1, Жұмысты байыту мен жұмысты кеңейту арасындағы,негізгі айырмашылық жұмысты байытуға қарағанда,кәсіби даму жолдарымен,бұл ережені енгізу,0.0,0.0,0.51,0.64,No
 Төмендегілердің қайсысы Дарвиннің Томас Мальтустың жазбаларынан алған идеясын білдіреді?, орта мектеп_биологиясы,['Барлық түрлер жаратылған түрінде тұрақты.' 'Популяциялар әдетте азық-түлік қоры мүмкіндік беретіннен жылдамырақ өседі.' 'Жер бірнеше жылдар бойы бірқатар апатты төңкерістер арқылы өзгерді.' 'Қоршаған орта табиғи сұрыпталуға жауапты.'],1,Sheet1, Төмендегілердің қайсысы Дарвиннің Томас Мальтустың,жазбаларынан алған идеясын білдіреді?,Төмендегілердің қайсысы Дарвиннің Томас Мальтустың,Бұл екеуі ең басты мамандар.,0.0,0.0,0.24,0.56,No
 Дэниел сөйлеу қабілетінің дамуы жағынан құрдастарынан артта қалған бүлдіршін. Ол адамдармен көзге түсуден аулақ болады және күнделікті тәртіпті өзгертуге қарсы тұрады. Дэниелге диагноз қойылуы мүмкін, орта мектеп психологиясы,['Даун синдромы.' 'ұрықтың алкогольдік синдромы.' 'ақыл-ой кемістігі.' 'аутизм.'],3,Sheet1, Дэниел сөйлеу қабілетінің дамуы жағынан құрдастарынан артта қалған бүлдіршін. Ол адамдармен көзге түсуден аулақ болады және күнделікті тәртіпті өзгертуге қарсы тұрады.,Дэниелге диагноз қойылуы мүмкін,Осындай,"Осылайша оның қатынастарындағы өзгеріс пен өзіндік тәжірибе оның қорқыныштарын толықтай басқаруға жақын келеді, себебі ол әрқашан өз қызметкерлерін сақтайды.",0.0,0.0,0.63,0.72,No
